segment,bin,golden_i,golden_q
0,0,17,-16
0,1,17,-16
0,2,18,-16
0,3,18,-15
0,4,18,-15
0,5,19,-14
0,6,19,-14
0,7,20,-13
0,8,20,-13
0,9,20,-12
0,10,20,-12
0,11,21,-11
0,12,21,-11
0,13,21,-10
0,14,21,-10
0,15,22,-9
0,16,22,-8
0,17,22,-8
0,18,22,-7
0,19,22,-6
0,20,22,-6
0,21,23,-5
0,22,23,-4
0,23,23,-4
0,24,23,-3
0,25,23,-2
0,26,23,-2
0,27,23,-1
0,28,22,0
0,29,22,0
0,30,22,1
0,31,22,2
0,32,22,2
0,33,22,3
0,34,21,3
0,35,21,4
0,36,21,5
0,37,20,5
0,38,20,6
0,39,20,6
0,40,19,7
0,41,19,8
0,42,19,8
0,43,18,9
0,44,18,9
0,45,17,10
0,46,17,11
0,47,16,11
0,48,16,12
0,49,15,12
0,50,15,13
0,51,14,13
0,52,14,14
0,53,13,14
0,54,13,15
0,55,12,15
0,56,12,15
0,57,11,16
0,58,11,16
0,59,10,17
0,60,10,17
0,61,9,18
0,62,9,18
0,63,8,18
0,64,7,19
0,65,7,19
0,66,6,19
0,67,6,19
0,68,5,20
0,69,4,20
0,70,3,20
0,71,3,20
0,72,2,20
0,73,1,21
0,74,1,21
0,75,0,21
0,76,-1,21
0,77,-1,21
0,78,-2,21
0,79,-3,21
0,80,-3,20
0,81,-4,20
0,82,-5,20
0,83,-5,20
0,84,-6,20
0,85,-7,20
0,86,-7,19
0,87,-8,19
0,88,-9,19
0,89,-9,19
0,90,-10,18
0,91,-10,18
0,92,-11,18
0,93,-12,17
0,94,-12,17
0,95,-13,17
0,96,-14,16
0,97,-14,16
0,98,-15,15
0,99,-15,15
0,100,-16,14
0,101,-16,14
0,102,-17,13
0,103,-17,13
0,104,-18,13
0,105,-18,12
0,106,-19,12
0,107,-19,11
0,108,-20,11
0,109,-20,10
0,110,-21,10
0,111,-21,9
0,112,-21,9
0,113,-22,8
0,114,-22,8
0,115,-22,7
0,116,-23,6
0,117,-23,6
0,118,-23,5
0,119,-23,4
0,120,-24,4
0,121,-24,3
0,122,-24,2
0,123,-24,2
0,124,-24,1
0,125,-25,0
0,126,-25,0
0,127,-25,-1
0,128,-25,-2
0,129,-25,-2
0,130,-25,-3
0,131,-24,-4
0,132,-24,-4
0,133,-24,-5
0,134,-24,-6
0,135,-24,-6
0,136,-23,-7
0,137,-23,-7
0,138,-23,-8
0,139,-23,-9
0,140,-22,-9
0,141,-22,-10
0,142,-22,-10
0,143,-21,-11
0,144,-21,-12
0,145,-21,-12
0,146,-20,-13
0,147,-20,-13
0,148,-19,-14
0,149,-19,-14
0,150,-18,-15
0,151,-18,-16
0,152,-17,-16
0,153,-17,-17
0,154,-16,-17
0,155,-16,-18
0,156,-15,-18
0,157,-15,-19
0,158,-14,-19
0,159,-14,-19
0,160,-13,-20
0,161,-13,-20
0,162,-12,-21
0,163,-12,-21
0,164,-11,-21
0,165,-11,-21
0,166,-10,-22
0,167,-9,-22
0,168,-9,-22
0,169,-8,-23
0,170,-8,-23
0,171,-7,-23
0,172,-6,-23
0,173,-6,-24
0,174,-5,-24
0,175,-4,-24
0,176,-4,-24
0,177,-3,-24
0,178,-2,-24
0,179,-1,-24
0,180,-1,-24
0,181,0,-24
0,182,1,-24
0,183,1,-24
0,184,2,-24
0,185,3,-24
0,186,3,-24
0,187,4,-23
0,188,4,-23
0,189,5,-23
0,190,6,-23
0,191,6,-23
0,192,7,-22
0,193,8,-22
0,194,8,-22
0,195,9,-21
0,196,9,-21
0,197,10,-21
0,198,11,-20
0,199,11,-20
0,200,12,-19
0,201,12,-19
0,202,13,-18
0,203,13,-18
0,204,14,-17
0,205,14,-17
0,206,15,-17
0,207,15,-16
0,208,16,-16
0,209,16,-15
0,210,17,-15
0,211,17,-14
0,212,18,-14
0,213,18,-13
0,214,18,-13
0,215,19,-12
0,216,19,-11
0,217,19,-11
0,218,20,-10
0,219,20,-10
0,220,20,-9
0,221,21,-8
0,222,21,-8
0,223,21,-7
0,224,21,-6
0,225,21,-5
0,226,22,-5
0,227,22,-4
0,228,22,-3
0,229,22,-3
0,230,22,-2
0,231,22,-1
0,232,22,-1
