bin,golden_i,golden_q
0,-2,0
1,-2,-1
2,-2,-1
3,-2,-1
4,-2,-1
5,-2,-1
6,-2,-1
7,-2,-2
8,-1,-2
9,-1,-1
10,-1,-1
11,-1,-1
12,-1,-1
13,-1,-1
14,-1,0
15,-1,0
16,-2,0
17,-2,0
18,-2,-1
19,-2,-1
20,-2,-1
21,-2,-1
22,-2,-1
23,-2,-2
24,-2,-1
25,-1,-1
26,-1,-1
27,-1,-1
28,-1,-1
29,-1,-1
30,-1,-1
31,-2,-1
32,-2,-1
33,-2,-1
34,-2,-1
35,-2,-1
36,-2,-1
37,-2,-1
38,-2,-2
39,-2,-2
40,-2,-2
41,-1,-2
42,-1,-2
43,-1,-2
44,-1,-1
45,-1,-1
46,-1,-1
47,-1,0
48,-2,0
49,-2,0
50,-2,0
51,-2,0
52,-2,0
53,-2,0
54,-2,0
55,-2,0
56,-2,0
57,-2,0
58,-2,0
59,-2,0
60,-2,0
61,-2,0
62,-2,0
63,-2,0
64,-2,-1
65,-2,-1
66,-2,-1
67,-2,-1
68,-2,-1
69,-2,-1
70,-2,-1
71,-2,-1
72,-2,-1
73,-2,-1
74,-2,-1
75,-2,-1
76,-2,-1
77,-2,-1
78,-2,-1
79,-2,-1
80,-2,-1
81,-2,-1
82,-2,-1
83,-2,-1
84,-2,-1
85,-2,-1
86,-2,-1
87,-2,-1
88,-2,-1
89,-2,-1
90,-2,-1
91,-2,-1
92,-2,-1
93,-2,-1
94,-2,-1
95,-2,-1
96,-2,-1
97,-2,-1
98,-2,-1
99,-2,-1
100,-2,-1
101,-2,-1
102,-2,-1
103,-2,-1
104,-2,-1
105,-2,-1
106,-2,-1
107,-2,-1
108,-2,-1
109,-2,-1
110,-2,-1
111,-2,-1
112,-2,-1
113,-2,-1
114,-2,-2
115,-2,-2
116,-2,-2
117,-2,-2
118,-2,-2
119,-2,-2
120,-2,-2
121,-2,-1
122,-2,-1
123,-2,-1
124,-2,-1
125,-2,-1
126,-2,-1
127,-2,-1
128,-2,-1
129,-2,-2
130,-2,-2
131,-2,-2
132,-2,-2
133,-2,-2
134,-2,-2
135,-2,-2
136,-2,-2
137,-1,-2
138,-1,-2
139,-1,-2
140,-1,-2
141,-1,-2
142,-1,-2
143,-1,-2
144,-1,-2
