cycle,range_bin,doppler_bin,output_hex
1430025000,0,0,fed8ff8a
1430035000,0,1,01f5ffa9
1430045000,0,2,fec400c4
1430055000,0,3,00bcff33
1430065000,0,4,fefaff6a
1430075000,0,5,013d01cf
1430085000,0,6,fe7cffb0
1430095000,0,7,00bffdc2
1430105000,0,8,01b801f2
1430115000,0,9,fdadffdf
1430125000,0,10,000eff9e
1430135000,0,11,ffe8fff5
1430145000,0,12,0132008a
1430155000,0,13,00ed007d
1430165000,0,14,fdc6fdbe
1430175000,0,15,01010202
1432055000,0,16,023aff68
1432065000,0,17,fead00dd
1432075000,0,18,004f0048
1432085000,0,19,ff83ffde
1432095000,0,20,00b9fe8c
1432105000,0,21,00580397
1432115000,0,22,fefdfede
1432125000,0,23,ff480071
1432135000,0,24,0120fdac
1432145000,0,25,fea3035f
1432155000,0,26,0229fcb6
1432165000,0,27,ffb70256
1432175000,0,28,fe61fea0
1432185000,0,29,019801a5
1432195000,0,30,ff57ff7c
1432205000,0,31,ff3e005b
1434085000,1,0,ffc40001
1434095000,1,1,012a0019
1434105000,1,2,fe6c0111
1434115000,1,3,01b6fdc6
1434125000,1,4,ffb80096
1434135000,1,5,fdf102aa
1434145000,1,6,01d5fca1
1434155000,1,7,ffcc0187
1434165000,1,8,01e0ff0d
1434175000,1,9,fc3e00ad
1434185000,1,10,00ceffd9
1434195000,1,11,01a00104
1434205000,1,12,ff6cfe28
1434215000,1,13,ffb300fc
1434225000,1,14,001100a1
1434235000,1,15,ffeaff4b
1436115000,1,16,fecffc0f
1436125000,1,17,00d7024d
1436135000,1,18,ff440050
1436145000,1,19,00990048
1436155000,1,20,000ffe9e
1436165000,1,21,fea5037a
1436175000,1,22,ffc2fc96
1436185000,1,23,013c01b7
1436195000,1,24,0021fda7
1436205000,1,25,014b01db
1436215000,1,26,fd2c015e
1436225000,1,27,0243fea2
1436235000,1,28,fd6900a8
1436245000,1,29,01fd007e
1436255000,1,30,feaeff68
1436265000,1,31,014c0207
1438145000,2,0,ffb2004b
1438155000,2,1,00b30019
1438165000,2,2,0066fed8
1438175000,2,3,ff390151
1438185000,2,4,00dffed7
1438195000,2,5,fed302ea
1438205000,2,6,0147fbf7
1438215000,2,7,ffe30140
1438225000,2,8,006c0013
1438235000,2,9,fdad0145
1438245000,2,10,0112fce8
1438255000,2,11,007f047f
1438265000,2,12,ffdbfc13
1438275000,2,13,ffe10250
1438285000,2,14,0051feb9
1438295000,2,15,ff6900a0
1440175000,2,16,fbd00015
1440185000,2,17,02a7ffe7
1440195000,2,18,fe0eff77
1440205000,2,19,0022013b
1440215000,2,20,00b2fe01
1440225000,2,21,008100e6
1440235000,2,22,fe320037
1440245000,2,23,0179feac
1440255000,2,24,00340083
1440265000,2,25,ffe901cd
1440275000,2,26,feb2ff49
1440285000,2,27,02160087
1440295000,2,28,fbc2fd17
1440305000,2,29,03eb011a
1440315000,2,30,fe2601f9
1440325000,2,31,0323ff2e
1442205000,3,0,005501d6
1442215000,3,1,ffe9ff22
1442225000,3,2,0042ff65
1442235000,3,3,ff9b016d
1442245000,3,4,022dfe24
1442255000,3,5,fbb702b4
1442265000,3,6,02eefd3a
1442275000,3,7,007701fa
1442285000,3,8,00b1fda2
1442295000,3,9,fbf7017c
1442305000,3,10,02b60045
1442315000,3,11,ff69ffc7
1442325000,3,12,0065fee8
1442335000,3,13,ff2d0236
1442345000,3,14,0172ff10
1442355000,3,15,fed1fed2
1444235000,3,16,ff5f005b
1444245000,3,17,0156009e
1444255000,3,18,fe7bff44
1444265000,3,19,019801da
1444275000,3,20,fe3efd07
1444285000,3,21,024d026e
1444295000,3,22,fd60fd99
1444305000,3,23,02a70194
1444315000,3,24,fec9ff47
1444325000,3,25,00d80296
1444335000,3,26,fd5bfe74
1444345000,3,27,0360ff8e
1444355000,3,28,fc92fee3
1444365000,3,29,01790112
1444375000,3,30,01520143
1444385000,3,31,feadfe40
1446265000,4,0,00d8ffe1
1446275000,4,1,fdf9014b
1446285000,4,2,014eff78
1446295000,4,3,ffd1feac
1446305000,4,4,00610217
1446315000,4,5,fe61000d
1446325000,4,6,01ddfe3e
1446335000,4,7,ff33010d
1446345000,4,8,015efeb5
1446355000,4,9,fd1501d3
1446365000,4,10,01ccffa8
1446375000,4,11,ffe9ff94
1446385000,4,12,ff95ff1b
1446395000,4,13,00f901c1
1446405000,4,14,ff05002a
1446415000,4,15,0083fe77
1448295000,4,16,000effbf
1448305000,4,17,ffec00aa
1448315000,4,18,fe4effe9
1448325000,4,19,0234ff1e
1448335000,4,20,fd6fffec
1448345000,4,21,017901b4
1448355000,4,22,fe74fd4d
1448365000,4,23,02d90190
1448375000,4,24,fcd2ff83
1448385000,4,25,023e0142
1448395000,4,26,fe66007b
1448405000,4,27,ff3efd7a
1448415000,4,28,ffe100f6
1448425000,4,29,0169ff6c
1448435000,4,30,ffc8ffdb
1448445000,4,31,0029011c
1450325000,5,0,00d2fe0f
1450335000,5,1,ff6301f3
1450345000,5,2,ff05ff13
1450355000,5,3,0219ff4a
1450365000,5,4,fd5b00ff
1450375000,5,5,012f0211
1450385000,5,6,0133fc42
1450395000,5,7,ff0f02a2
1450405000,5,8,002afc93
1450415000,5,9,ff71041b
1450425000,5,10,ff89fe05
1450435000,5,11,011d0116
1450445000,5,12,ff95fde3
1450455000,5,13,01010205
1450465000,5,14,fe6bff82
1450475000,5,15,009f007a
1452355000,5,16,fe6d00f9
1452365000,5,17,0214ff4b
1452375000,5,18,fd66fe37
1452385000,5,19,01800266
1452395000,5,20,fef7ff94
1452405000,5,21,0275012d
1452415000,5,22,fd65fd58
1452425000,5,23,01710246
1452435000,5,24,fd39fd73
1452445000,5,25,0412019b
1452455000,5,26,fbce001b
1452465000,5,27,01dcffaa
1452475000,5,28,003ffe68
1452485000,5,29,ff8501c9
1452495000,5,30,005bfffe
1452505000,5,31,0093ff3e
1454385000,6,0,ff600104
1454395000,6,1,00a5fee0
1454405000,6,2,feff0078
1454415000,6,3,0123008f
1454425000,6,4,001dfe73
1454435000,6,5,fea702f9
1454445000,6,6,0190fc74
1454455000,6,7,ff03022e
1454465000,6,8,0108fcd6
1454475000,6,9,fe930442
1454485000,6,10,fef9fe7e
1454495000,6,11,022fff37
1454505000,6,12,ffdb0007
1454515000,6,13,ff090205
1454525000,6,14,00a0fe2a
1454535000,6,15,003b0004
1456415000,6,16,fe8bfeff
1456425000,6,17,0219ffdd
1456435000,6,18,fdf80150
1456445000,6,19,00b6000b
1456455000,6,20,fe30fd26
1456465000,6,21,02a10258
1456475000,6,22,feecfe65
1456485000,6,23,02390144
1456495000,6,24,fc55fde1
1456505000,6,25,032f03d5
1456515000,6,26,fc48fdc2
1456525000,6,27,0290005d
1456535000,6,28,ff74ff4a
1456545000,6,29,ffe7ff1a
1456555000,6,30,ffd000c1
1456565000,6,31,01610158
1458445000,7,0,0179fff1
1458455000,7,1,fde9ffe2
1458465000,7,2,006f0072
1458475000,7,3,0241ff48
1458485000,7,4,fdac005f
1458495000,7,5,ffe801a3
1458505000,7,6,013ffd3a
1458515000,7,7,fec5000f
1458525000,7,8,027702b1
1458535000,7,9,fb89fe18
1458545000,7,10,036b0092
1458555000,7,11,ff1b00b6
1458565000,7,12,00d4feb7
1458575000,7,13,feda00a7
1458585000,7,14,012f0022
1458595000,7,15,fef3ff97
1460475000,7,16,00d30083
1460485000,7,17,ff52fe39
1460495000,7,18,ffb6ff5a
1460505000,7,19,007401d9
1460515000,7,20,01ddfe74
1460525000,7,21,fe990180
1460535000,7,22,0034ff07
1460545000,7,23,00d40177
1460555000,7,24,fe19fd4d
1460565000,7,25,025a01c7
1460575000,7,26,fd90fff8
1460585000,7,27,0036ff23
1460595000,7,28,019bfeb0
1460605000,7,29,ffdb021c
1460615000,7,30,0102ffd3
1460625000,7,31,fe520031
1462505000,8,0,0161ff7f
1462515000,8,1,fed300f3
1462525000,8,2,fe22ff6d
1462535000,8,3,03080053
1462545000,8,4,fe69ffed
1462555000,8,5,ff550115
1462565000,8,6,00d8ffeb
1462575000,8,7,0033fd3b
1462585000,8,8,00b70399
1462595000,8,9,fe73fe9b
